,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
120,ust-kuyga,68.0,RU,2018-11-30 18:30:26,45.0,70.0,135.55,-28.62,4.0
121,shache,0.0,CN,2018-11-30 18:30:27,69.0,38.42,77.24,21.29,2.89
122,abha,0.0,SA,2018-11-30 18:00:00,87.0,18.22,42.5,61.74,2.24
123,west chester,90.0,US,2018-11-30 18:15:00,69.0,39.96,-75.61,40.12,3.11
124,torbay,90.0,CA,2018-11-30 18:00:00,94.0,47.66,-52.73,32.0,32.21
125,clyde river,75.0,CA,2018-11-30 18:00:00,84.0,70.47,-68.59,-0.41,2.24
127,turukhansk,0.0,RU,2018-11-30 18:30:29,0.0,65.8,87.96,-38.75,3.89
128,sierra vista,1.0,US,2018-11-30 17:58:00,49.0,31.55,-110.3,52.5,16.11
129,vestmannaeyjar,75.0,IS,2018-11-30 18:00:00,86.0,63.44,-20.27,37.4,3.36
130,narsaq,0.0,GL,2018-11-30 18:30:30,56.0,60.91,-46.05,-2.48,2.71
131,sao filipe,48.0,CV,2018-11-30 18:30:30,87.0,14.9,-24.5,78.08,16.87
132,kitgum,8.0,UG,2018-11-30 18:30:30,35.0,3.3,32.88,77.14,10.65
133,esperance,88.0,TT,2018-11-30 18:30:31,89.0,10.24,-61.45,78.66,6.8
134,beringovskiy,0.0,RU,2018-11-30 18:30:31,100.0,63.05,179.32,9.5,4.72
135,benicarlo,0.0,ES,2018-11-30 18:30:31,100.0,40.42,0.43,60.21,25.97
136,constantine,20.0,DZ,2018-11-30 18:00:00,50.0,36.36,6.61,53.6,5.82
138,nara,75.0,JP,2018-11-30 18:00:00,76.0,34.68,135.8,57.2,11.41
139,port elizabeth,75.0,US,2018-11-30 17:57:00,51.0,39.31,-74.98,46.2,6.93
140,morro bay,20.0,US,2018-11-30 17:56:00,59.0,35.37,-120.85,57.74,9.17
141,port hedland,75.0,AU,2018-11-30 18:00:00,73.0,-20.31,118.58,75.2,12.75
142,masvingo,80.0,ZW,2018-11-30 18:30:33,92.0,-20.08,30.83,61.7,8.93
143,kangaatsiaq,80.0,GL,2018-11-30 18:30:34,100.0,68.31,-53.46,22.41,1.7
144,los llanos de aridane,40.0,ES,2018-11-30 18:00:00,72.0,28.66,-17.92,68.0,10.29
145,kavieng,56.0,PG,2018-11-30 18:30:34,100.0,-2.57,150.8,83.39,7.02
146,tazovskiy,56.0,RU,2018-11-30 18:30:35,51.0,67.47,78.7,-30.6,4.9
147,lagunas,24.0,PE,2018-11-30 18:30:35,84.0,-5.23,-75.68,83.39,4.0
148,sao joao da barra,44.0,BR,2018-11-30 18:30:35,92.0,-21.64,-41.05,80.1,21.56
149,milkovo,20.0,BG,2018-11-30 18:20:00,74.0,41.53,24.68,33.8,3.36
150,nanganga,20.0,TZ,2018-11-30 18:30:36,93.0,-10.41,39.17,71.96,2.89
151,stonewall,75.0,CA,2018-11-30 18:00:00,79.0,50.13,-97.33,19.4,4.7
152,hobyo,76.0,SO,2018-11-30 18:30:37,95.0,5.35,48.53,77.81,16.31
153,chuy,76.0,UY,2018-11-30 18:30:37,94.0,-33.69,-53.46,71.24,15.08
154,port hardy,90.0,CA,2018-11-30 18:00:00,93.0,50.7,-127.42,41.0,2.24
155,hami,0.0,CN,2018-11-30 18:30:38,57.0,42.84,93.51,20.25,5.28
156,talnakh,36.0,RU,2018-11-30 18:30:38,55.0,69.49,88.39,-32.22,1.36
158,homer,40.0,US,2018-11-30 17:53:00,88.0,59.64,-151.54,29.46,4.7
159,gimli,64.0,CA,2018-11-30 18:26:15,95.0,50.63,-96.99,21.83,4.27
160,oga,0.0,NG,2018-11-30 18:30:40,42.0,8.18,5.65,84.06,3.33
161,victoria,75.0,BN,2018-11-30 18:00:00,94.0,5.28,115.24,77.79,4.72
162,walvis bay,0.0,NA,2018-11-30 17:00:00,56.0,-22.95,14.51,71.6,16.11
163,lodja,64.0,CD,2018-11-30 18:30:41,95.0,-3.52,23.6,71.06,2.55
164,biryusinsk,92.0,RU,2018-11-30 18:30:41,95.0,55.96,97.82,27.0,5.91
165,ust-nera,36.0,RU,2018-11-30 18:30:42,0.0,64.57,143.24,-44.06,1.99
166,kaeo,92.0,NZ,2018-11-30 18:30:42,97.0,-35.1,173.78,61.66,19.71
167,kudahuvadhoo,32.0,MV,2018-11-30 18:30:42,100.0,2.67,72.89,83.57,12.44
168,emerald,0.0,AU,2018-11-30 18:00:00,68.0,-23.53,148.16,69.8,6.93
169,bridgetown,75.0,CA,2018-11-30 18:00:00,60.0,44.84,-65.29,39.2,8.05
170,rairangpur,0.0,IN,2018-11-30 18:30:43,82.0,22.27,86.18,57.38,1.1
171,barrow,56.0,AR,2018-11-30 18:30:44,93.0,-38.31,-60.23,68.63,18.7
172,klaksvik,92.0,FO,2018-11-30 17:50:00,93.0,62.23,-6.59,41.0,8.05
173,provideniya,68.0,RU,2018-11-30 18:30:44,100.0,64.42,-173.23,33.66,14.85
174,qaanaaq,48.0,GL,2018-11-30 18:30:45,100.0,77.48,-69.36,-2.48,11.65
175,arraial do cabo,40.0,BR,2018-11-30 18:00:00,62.0,-22.97,-42.02,91.31,9.17
176,christiana,92.0,ZA,2018-11-30 18:30:45,25.0,-27.91,25.16,82.98,7.36
177,vysokogornyy,0.0,RU,2018-11-30 18:30:46,66.0,50.1,139.13,-1.93,6.29
179,pozo colorado,32.0,PY,2018-11-30 18:30:46,100.0,-23.49,-58.8,79.52,7.52
180,nizwa,0.0,OM,2018-11-30 18:30:46,68.0,22.93,57.53,59.27,3.22
183,hay river,90.0,CA,2018-11-30 18:00:00,85.0,60.82,-115.79,12.2,4.7
184,nabire,8.0,ID,2018-11-30 18:30:47,96.0,-3.36,135.5,67.46,2.1
185,geraldton,90.0,CA,2018-11-30 18:00:00,92.0,49.72,-86.95,30.2,5.82
186,kudat,75.0,MY,2018-11-30 18:00:00,83.0,6.89,116.84,82.4,5.82
187,pangnirtung,90.0,CA,2018-11-30 18:00:00,92.0,66.15,-65.72,15.8,3.36
188,graaff-reinet,12.0,ZA,2018-11-30 18:30:49,19.0,-32.25,24.53,84.79,12.44
189,treinta y tres,80.0,UY,2018-11-30 18:30:49,83.0,-33.23,-54.39,73.04,8.86
190,ormara,0.0,PK,2018-11-30 18:30:49,92.0,25.21,64.64,76.19,8.81
191,mareeba,0.0,AU,2018-11-30 18:00:00,83.0,-16.99,145.42,73.4,3.36
192,santa marta,20.0,CO,2018-11-30 18:00:00,62.0,11.24,-74.21,87.8,6.93
193,broome,20.0,GB,2018-11-30 17:56:00,81.0,52.47,1.45,45.66,11.41
194,rio grande,40.0,BR,2018-11-30 18:00:00,69.0,-32.03,-52.1,80.6,9.17
195,nemuro,0.0,JP,2018-11-30 18:30:51,100.0,43.32,145.57,37.08,17.36
197,iqaluit,20.0,CA,2018-11-30 18:00:00,84.0,63.75,-68.52,6.8,3.36
198,upernavik,44.0,GL,2018-11-30 18:30:52,100.0,72.79,-56.15,9.23,11.16
199,mount isa,24.0,AU,2018-11-30 18:00:00,34.0,-20.73,139.49,66.2,8.3
200,havre-saint-pierre,1.0,CA,2018-11-30 18:00:00,55.0,50.23,-63.6,35.6,8.05
201,vila franca do campo,75.0,PT,2018-11-30 18:00:00,88.0,37.72,-25.43,64.4,16.11
203,tasiilaq,20.0,GL,2018-11-30 17:50:00,41.0,65.61,-37.64,19.4,6.93
204,cabo san lucas,5.0,MX,2018-11-30 17:50:00,47.0,22.89,-109.91,78.96,13.87
205,hasaki,75.0,JP,2018-11-30 18:00:00,87.0,35.73,140.83,44.38,8.05
206,kulhudhuffushi,56.0,MV,2018-11-30 18:30:54,100.0,6.62,73.07,83.03,14.34
207,aklavik,75.0,CA,2018-11-30 18:00:00,84.0,68.22,-135.01,7.56,3.36
208,muros,40.0,ES,2018-11-30 18:00:00,87.0,42.77,-9.06,50.0,5.82
209,carutapera,92.0,BR,2018-11-30 18:30:55,92.0,-1.2,-46.02,80.01,6.13
210,abu dhabi,0.0,AE,2018-11-30 18:00:00,50.0,24.47,54.37,76.06,9.17
211,sibolga,80.0,ID,2018-11-30 18:30:56,100.0,1.74,98.78,70.52,1.88
212,kaoma,44.0,ZM,2018-11-30 18:30:56,61.0,-14.8,24.8,75.16,14.79
213,fairview,90.0,US,2018-11-30 18:15:00,61.0,40.81,-74.0,40.93,3.56
214,manokwari,48.0,ID,2018-11-30 18:30:59,100.0,-0.87,134.08,80.51,3.38
215,carnarvon,0.0,ZA,2018-11-30 18:31:00,11.0,-30.97,22.13,78.44,17.81
216,faanui,32.0,PF,2018-11-30 18:31:00,100.0,-16.48,-151.75,81.68,13.96
217,marion,90.0,US,2018-11-30 18:06:00,87.0,38.35,-97.02,46.58,12.75
218,yarmouth,20.0,GB,2018-11-30 18:20:00,76.0,50.71,-1.5,46.29,8.05
219,kyabram,0.0,AU,2018-11-30 18:31:01,87.0,-36.31,145.05,51.21,2.77
220,shingu,0.0,JP,2018-11-30 18:31:01,100.0,33.72,135.99,56.66,7.4
221,mujiayingzi,0.0,CN,2018-11-30 18:31:01,67.0,42.12,118.78,8.51,2.59
222,zhuhai,0.0,CN,2018-11-30 18:00:00,61.0,40.71,112.04,17.6,4.47
223,belyy yar,40.0,RU,2018-11-30 18:00:00,53.0,53.6,91.39,24.8,17.9
224,camabatela,36.0,AO,2018-11-30 18:31:02,96.0,-8.19,15.37,68.27,2.82
225,ribeira grande,75.0,PT,2018-11-30 18:00:00,93.0,38.52,-28.7,66.2,16.11
